day,Open,High,Low,Close
2024-06-25,1254.12,1260.07,1250.25,1256.56
2024-06-24,1282.02,1284.84,1252.66,1254.12
2024-06-21,1282.3,1288.06,1279.44,1282.02
2024-06-20,1279.79,1286.54,1273.54,1282.3
2024-06-19,1279.5,1284.14,1270.66,1279.79
2024-06-18,1274.77,1286.52,1274.77,1279.5
2024-06-17,1279.91,1283.1,1272.54,1274.77
2024-06-14,1301.51,1305.02,1279.91,1279.91
2024-06-13,1305.69,1306.01,1297.6,1301.51
2024-12-06,1284.41,1301.35,1281.71,1300.19
2024-11-06,1290.67,1296.41,1279.47,1284.41
2024-10-06,1287.58,1297.39,1287.44,1290.67
2024-07-06,1283.56,1293.03,1283.13,1287.58
2024-06-06,1288.79,1292.02,1278.4,1283.56
2024-05-06,1283.52,1293.93,1283.52,1284.35
2024-04-06,1280.0,1289.31,1280.0,1283.52
2024-03-06,1261.72,1284.48,1261.72,1280.0
2024-05-31,1266.32,1271.07,1261.43,1261.72
2024-05-30,1272.64,1272.64,1251.8,1266.32
2024-05-29,1281.73,1285.63,1271.6,1272.64
2024-05-28,1267.68,1281.73,1267.68,1281.73
2024-05-27,1263.46,1267.68,1257.27,1267.68
2024-05-24,1281.03,1285.07,1250.28,1261.93
2024-05-23,1266.91,1281.03,1262.29,1281.03
2024-05-22,1277.14,1283.06,1263.87,1266.91
2024-05-21,1277.58,1281.29,1267.29,1277.14
2024-05-20,1273.11,1285.19,1273.11,1277.58
2024-05-17,1268.78,1274.27,1266.32,1273.11
2024-05-16,1254.39,1271.66,1254.39,1268.78
2024-05-15,1243.28,1257.92,1243.28,1254.39
2024-05-14,1240.18,1252.52,1240.18,1243.28
2024-05-13,1244.7,1249.2,1233.56,1240.18
2024-10-05,1248.64,1252.5,1237.46,1244.7
2024-09-05,1250.46,1256.8,1243.29,1248.64
2024-08-05,1248.63,1251.62,1234.76,1250.46
2024-07-05,1241.58,1250.63,1240.09,1248.63
2024-06-05,1221.03,1241.58,1221.03,1241.58
2024-03-05,1216.36,1225.75,1216.36,1221.03
2024-02-05,1212.13,1216.36,1206.28,1216.36
2024-04-26,1204.97,1216.6,1198.73,1209.52
2024-04-25,1205.61,1208.41,1200.21,1204.97
2024-04-24,1177.4,1207.61,1177.4,1205.61
2024-04-23,1190.22,1192.8,1169.61,1177.4
2024-04-22,1174.85,1193.88,1174.85,1190.22
2024-04-19,1193.01,1193.01,1165.99,1174.85
2024-04-17,1215.68,1221.47,1193.01,1193.01
2024-04-16,1216.61,1222.45,1191.73,1215.68
2024-04-15,1276.6,1281.81,1216.61,1216.61
2024-12-04,1258.2,1278.39,1258.2,1276.6
2024-11-04,1258.56,1262.03,1248.11,1258.2
2024-10-04,1262.82,1268.72,1258.56,1258.56
2024-09-04,1252.4,1262.82,1247.7,1262.82
2024-08-04,1255.11,1258.4,1246.87,1250.35
2024-05-04,1268.25,1268.25,1253.56,1255.11
2024-04-04,1271.47,1277.62,1265.12,1268.25
2024-03-04,1287.04,1288.99,1271.47,1271.47
2024-02-04,1281.52,1287.04,1268.48,1287.04
2024-01-04,1284.09,1286.8,1274.09,1281.52
2024-03-29,1290.18,1293.04,1282.44,1284.09
2024-03-28,1283.09,1293.9,1283.09,1290.18
2024-03-27,1282.21,1286.72,1276.95,1283.09
2024-03-26,1267.86,1282.5,1264.42,1282.21
2024-03-25,1281.8,1286.84,1264.51,1267.86
2024-03-22,1276.42,1291.27,1276.38,1281.8
2024-03-21,1260.08,1276.42,1260.08,1276.42
2024-03-20,1242.46,1261.55,1235.46,1260.08
2024-03-19,1246.54,1249.75,1238.92,1242.46
2024-03-18,1263.78,1269.9,1221.67,1243.56
2024-03-15,1264.26,1271.63,1252.36,1263.78
2024-03-14,1270.51,1276.41,1258.67,1264.26
2024-03-13,1245.0,1270.51,1245.0,1270.51
2024-12-03,1235.49,1248.33,1233.14,1245.0
2024-11-03,1247.35,1254.01,1233.49,1235.49
2024-08-03,1268.46,1274.3,1247.35,1247.35
2024-07-03,1262.73,1269.88,1260.24,1268.46
2024-06-03,1269.98,1277.51,1256.3,1262.73
2024-05-03,1261.41,1269.98,1257.81,1269.98
2024-04-03,1258.28,1268.25,1256.54,1261.41
2024-01-03,1256.72,1258.76,1247.87,1258.28
2024-02-29,1254.55,1264.39,1247.7,1252.73
2024-02-28,1237.46,1254.55,1236.32,1254.55
2024-02-27,1224.17,1237.6,1224.17,1237.46
2024-02-26,1212.0,1225.21,1210.52,1224.17
2024-02-23,1227.31,1240.81,1211.55,1212.0
2024-02-22,1230.04,1232.09,1226.15,1227.31
2024-02-21,1230.06,1234.22,1222.92,1230.04
2024-02-20,1224.97,1230.47,1222.66,1230.06
2024-02-19,1209.7,1225.48,1209.7,1224.97
2024-02-16,1202.5,1210.25,1202.5,1209.7
2024-02-15,1203.08,1207.56,1198.81,1202.5
2024-07-02,1188.48,1199.52,1188.48,1198.53
2024-06-02,1186.06,1190.92,1185.68,1188.48
2024-05-02,1172.55,1188.45,1172.55,1186.06
2024-02-02,1173.02,1178.27,1169.7,1172.55
2024-01-02,1164.31,1174.5,1162.45,1173.02
2024-01-31,1179.65,1182.53,1163.13,1164.31
2024-01-30,1175.69,1179.92,1174.13,1179.65
2024-01-29,1175.67,1180.46,1174.88,1175.69
2024-01-26,1170.37,1176.76,1170.37,1175.67
2024-01-25,1172.97,1173.83,1168.5,1170.37
2024-01-24,1177.5,1180.3,1172.0,1172.97
2024-01-23,1182.86,1184.74,1173.78,1177.5
2024-01-22,1181.5,1186.96,1175.54,1182.86
2024-01-19,1171.5,1181.5,1171.47,1181.5
2024-01-18,1162.53,1169.73,1162.53,1169.06
2024-01-17,1161.95,1168.46,1160.45,1162.53
2024-01-16,1154.12,1163.12,1147.71,1163.12
2024-01-15,1154.7,1163.75,1154.12,1154.12
2024-12-01,1162.22,1162.22,1146.75,1154.7
2024-11-01,1161.54,1169.1,1157.43,1162.22
2024-10-01,1158.59,1166.1,1155.94,1161.54
2024-09-01,1160.19,1162.83,1155.46,1158.59
2024-08-01,1154.68,1162.56,1154.68,1160.19
2024-05-01,1150.72,1155.84,1149.08,1154.68
2024-04-01,1145.49,1160.08,1144.32,1150.72
2024-03-01,1131.72,1144.17,1128.32,1144.17
2024-02-01,1129.93,1139.71,1128.69,1131.72
